	strategy	beta	gamma	epsilon	avg_qual
0	none	0.02	0.02	0.01	0.324
1	hub	0.02	0.02	0.01	0.241
2	none	0.02	0.02	0.001	0.337
3	hub	0.02	0.02	0.001	0.314
4	none	0.02	0.02	0.0001	0.375
5	hub	0.02	0.02	0.0001	0.279
6	none	0.02	0.04	0.01	0.356
7	hub	0.02	0.04	0.01	0.23
8	none	0.02	0.04	0.001	0.332
9	hub	0.02	0.04	0.001	0.252
10	none	0.02	0.04	0.0001	0.335
11	hub	0.02	0.04	0.0001	0.253
12	none	0.02	0.1	0.01	0.283
13	hub	0.02	0.1	0.01	0.25
14	none	0.02	0.1	0.001	0.304
15	hub	0.02	0.1	0.001	0.112
16	none	0.02	0.1	0.0001	0.355
17	hub	0.02	0.1	0.0001	0.16
18	none	0.04	0.02	0.01	0.301
19	hub	0.04	0.02	0.01	0.303
20	none	0.04	0.02	0.001	0.335
21	hub	0.04	0.02	0.001	0.241
22	none	0.04	0.02	0.0001	0.327
23	hub	0.04	0.02	0.0001	0.334
24	none	0.04	0.04	0.01	0.338
25	hub	0.04	0.04	0.01	0.193
26	none	0.04	0.04	0.001	0.314
27	hub	0.04	0.04	0.001	0.212
28	none	0.04	0.04	0.0001	0.336
29	hub	0.04	0.04	0.0001	0.219
30	none	0.04	0.1	0.01	0.291
31	none	0.04	0.1	0.001	0.24
32	hub	0.04	0.1	0.001	0.177
33	none	0.04	0.1	0.0001	0.304
34	hub	0.04	0.1	0.0001	0.166
35	none	0.1	0.02	0.01	0.318
36	hub	0.1	0.02	0.01	0.256
37	none	0.1	0.02	0.001	0.325
38	hub	0.1	0.02	0.001	0.211
39	none	0.1	0.02	0.0001	0.335
40	hub	0.1	0.02	0.0001	0.196
41	none	0.1	0.04	0.01	0.287
42	hub	0.1	0.04	0.01	0.168
43	none	0.1	0.04	0.001	0.29
44	hub	0.1	0.04	0.001	0.141
45	none	0.1	0.04	0.0001	0.2
46	hub	0.1	0.04	0.0001	0.136
47	none	0.1	0.1	0.01	0.192
48	hub	0.1	0.1	0.01	0.205
49	none	0.1	0.1	0.001	0.186
50	hub	0.1	0.1	0.001	0.158
51	none	0.1	0.1	0.0001	0.232
52	hub	0.1	0.1	0.0001	0.146
